track_name,artists,tempo,energy,loudness,valence
Memory Cascades,Isan,81.691,0.343,-20.924,0.254
Heavy Metal Love,twocolors,125.029,0.767,-8.06,0.457
Break Ups Suck Ass,Powfu;sadeyes,179.839,0.327,-7.659,0.608
Make Me Happy,Lindsay Mendez;Ben Crawford,92.072,0.639,-5.769,0.944
Vuela paloma,Los Tecolines,113.108,0.374,-8.232,0.669
Obama and Hitler!,Jamie Kilstein,116.073,0.555,-7.811,0.661
Ponto Final,Limão Com Mel;Tarcísio do Acordeon,117.029,0.829,-5.596,0.569
Stayin' Alive,Bee Gees,103.644,0.535,-19.793,0.641
Little Jack Horner - Original Mix,Cameron's Bedtime Classics,139.73,0.137,-17.15,0.271
Let You Down,Armin van Buuren,125.998,0.956,-3.605,0.0375
Jaiye Foreign,Tiwa Savage;Zinoleesky,108.98,0.816,-6.29,0.861
dooriyan,Zaeden,160.07,0.593,-7.473,0.475
Voice of the Soul,Death,79.176,0.572,-6.293,0.347
Ressuscitou (Resurrecting) [Kemuel Nation],Kemuel,148.055,0.509,-8.439,0.222
Utan att förstå,Lasse Stefanz,107.967,0.733,-5.09,0.741
Liebe ist ...,FiNCH;SDP,156.941,0.8,-4.179,0.782
再見二丁目,Miriam Yeung,143.928,0.3,-10.282,0.214
No Me Arrodillo,Almighty;Manny Montes,164.151,0.542,-7.146,0.376
F***k Orgus (Dance) - Dr. Rude Remix,DJ Furax;Redshark,147.011,0.867,-6.886,0.587
Wasteland,Moore Kismet,141.923,0.836,-3.901,0.657
If We Ever - 2018 Remaster,High Contrast,172.973,0.875,-4.285,0.114
"Minha Teimosia, uma Arma pra Te Conquistar",Los Sebosos Postizos,139.101,0.561,-9.159,0.584
Growing Up Beside You,Paolo Nutini,95.182,0.51,-10.79,0.0834
ULTRAnumb,Blue Stahli,91.993,0.915,-7.078,0.34
LOVE THAT WAS LOST - Remastered 2022,Eikichi Yazawa,107.882,0.519,-11.103,0.899
Hansnuhana,Fossils,133.127,0.427,-12.304,0.307
Sonate IV Opus 180 Pour Violoncelle Et Piano - 3ème Mouvement,Alireza Mashayekhi;Marie-Thérèse Grisenti;Marc Vitantonio;Duo Grisenti Vitantonio,84.693,0.104,-19.932,0.0378
Renaissance (Edit),Culture Shock,173.882,0.981,-1.65,0.143
