track_name,artists,tempo,energy,loudness,valence
Båda sidor nu,Håkan Hellström,103.816,0.342,-10.614,0.123
Eyes On Me,Faye Wong,179.638,0.517,-6.474,0.201
Voila!,Stuart Duncan;Edgar Meyer;Chris Thile;Yo-Yo Ma,104.936,0.254,-14.142,0.635
Pódio,Dilsinho;Jorge & Mateus,155.916,0.674,-7.25,0.947
More Than You Know,Axwell /\ Ingrosso,123.077,0.741,-4.973,0.571
Kali Kali Zulfon Ke Phande Na,Nusrat Fateh Ali Khan,153.902,0.694,-8.486,0.727
N - Ao Vivo,Nando Reis,105.223,0.31,-12.169,0.347
Bed Pan Man,Tim Wilson,98.837,0.948,-5.427,0.965
"Casey Jones - Live in Veneta, Oregon 8/27/72",Grateful Dead,93.491,0.545,-11.22,0.726
Remember When,Wallows,82.009,0.708,-5.896,0.51
sex money feelings die - slowed version,Lykke Li,111.014,0.44,-6.587,0.436
Days to Come (feat. Fiora),Seven Lions;Fiora,139.995,0.723,-7.101,0.207
I Wish I Missed My Ex,Mahalia,95.023,0.669,-4.185,0.546
Lost,Kris Allen,66.109,0.292,-9.899,0.168
Universal Nation,Push,138.009,0.828,-9.513,0.374
Thug Le,Salim–Sulaiman;Vishal Dadlani;Shweta Pandit;Amitabh Bhattacharya,112.988,0.788,-5.514,0.931
Let Them Know,Mabel,124.981,0.864,-5.601,0.839
La Más Bella,Guayacán Orquesta,169.913,0.677,-7.963,0.91
Дежавю,kizaru,87.509,0.591,-5.18,0.231
Give a Little Dub,Dub Pistols;Bunna;Barry Ashworth;Will Hensel,142.06,0.735,-8.107,0.686
Dreams Never End - 2015 Remaster,New Order,146.15,0.913,-7.865,0.817
On & Off Loyalty,Shane O,169.895,0.661,-8.808,0.314
Sanu Ek Pal Chain,Nusrat Fateh Ali Khan,147.97,0.731,-4.475,0.641
Blunt Against the Cutting Edge,Napalm Death,107.331,0.998,-4.425,0.038
Tech Power,Extra Terra;Urbanstep,100.007,0.885,-4.309,0.227
Snilepisk,Kvelertak,86.603,0.944,-4.561,0.306
Rasta Words,Horace Andy,167.334,0.559,-8.074,0.52
缺氧,Jill Vidal,139.966,0.429,-7.716,0.591
San Antonio Twist,Hermanas Jimenez,173.088,0.598,-11.452,0.956
"Dies irae, LWV 64/1: Dies irae dies illa",Jean-Baptiste Lully;Chœur De Chambre De Namur;Millenium Orchestra;Cappella Mediterranea;Leonardo García-Alarcón;Sophie Junker;Judith van Wanroij;Matthias Vidal;Thibaut Lenaerts;Alain Buet,115.045,0.333,-13.157,0.48
Reminisce (feat. Natty Campbell) - Matt Neux Remix,Toronto Is Broken;Matt Neux,87.496,0.945,-2.002,0.39
Hold On Loosely,38 Special,127.222,0.707,-5.65,0.831
Atlantis - Sped Up Version,Seafret,90.043,0.544,-7.105,0.138
Hate Myself,Fuck On the Beach,109.718,0.993,-2.279,0.0569
Grains,alva noto;Ryuichi Sakamoto;Ensemble Modern,113.624,0.0882,-28.521,0.0313
Deixa o Amor,Big Up,152.969,0.625,-6.842,0.808
My Propeller,Arctic Monkeys,115.752,0.657,-6.758,0.69
Blue Dream (Softly),Fiona Joy Hawkins,69.903,0.0264,-21.3,0.15
Represent,Bacao Rhythm & Steel Band,92.968,0.513,-7.916,0.79
Buffered White Noise,Meditation Spa;Spa;Deep Sleep Relaxation;White Noise Nature Sounds Baby Sleep;Mute Button;Spa Relaxation & Spa,0.0,2.03e-05,-9.316,0.0
"Divertimento No. 11 in D, K.251 ""Nannerl-Septett"": 4c. Menuetto (Tema con variazioni): Var. II",Wolfgang Amadeus Mozart;Heinz Holliger;Hermann Baumann;Michel Gasciarrino;Henk Guldemond;Orlando Quartet,111.141,0.0559,-19.111,0.615
History,Ron Trent,124.073,0.642,-10.841,0.369
De to spellemenn - 2013 edition,Myrkgrav,110.027,0.923,-5.385,0.386
Emaciated Holy Figure,Incantation,86.424,0.726,-8.868,0.0631
Lutchinushka,Sergei Lemeshev,57.886,0.272,-16.685,0.138
Tennessee Waltz,Floyd Cramer,83.072,0.159,-12.68,0.246
Doxa 8 for Parisa,Siavash Amini,141.915,0.874,-9.044,0.202
Deva Deva (Tamil),Pritam;Sid Sriram;Arijit Singh;Jonita Gandhi,112.045,0.728,-7.151,0.393
"Rain, Rain Go Away",Belle and the Nursery Rhymes Band,92.045,0.385,-9.019,0.654
Spirituel,Georgio,145.351,0.713,-8.106,0.358
Like You Do,D.O.D;Raphaella,124.015,0.847,-4.565,0.49
Secreto,Anuel AA;KAROL G,91.982,0.803,-4.156,0.706
Vamos Hacerlo,Dvice,168.06,0.709,-7.155,0.61
Your Love Never Fails,Jesus Culture,113.949,0.86,-4.722,0.427
Vai Mudar (feat. João Santana),Irmão Lázaro;João Santana,137.97,0.826,-2.313,0.646
Vannu ninte,Sajeer Koppam,134.576,0.672,-5.988,0.551
風に吹かれても,Keyakizaka46,125.925,0.906,-2.734,0.851
Leev Marie,voXXclub;Paveier,148.026,0.844,-3.78,0.729
Dope,Demeter,88.115,0.634,-6.672,0.136
"Four Pieces For Piano, Op. 119: II. Intermezzo in E Minor",Johannes Brahms;Karin Lechner,65.37,0.0478,-26.069,0.0859
Make A Move,EMMA WAHLIN,124.015,0.591,-6.615,0.384
Faithfully,Journey,85.04,0.644,-5.212,0.252
"Dreaming of the Days (Vocal Version of Einaudi’s ""I Giorni"")",Katherine Jenkins,127.113,0.252,-13.07,0.128
Bhar Do Jholi Meri,Adnan Sami,110.019,0.876,-5.952,0.796
Lacoste Listrada,Mc Kanhoto;MC Cassiano;Mc Xang;DJ Faveliano,112.369,0.563,-5.606,0.578
Ah Yeah!!,Sukima Switch,140.061,0.933,-5.447,0.502
"Kesariya Rangu (From ""Brahmastra (Kannada)"")",Pritam;Sanjith Hegde;Sid Sriram,94.2,0.596,-7.278,0.352
Zieh dich aus,Ufo361,126.945,0.509,-7.572,0.174
Carpinteiro do universo,Marcelo Nova;Raul Seixas,100.454,0.546,-11.055,0.386
Crimson & Clover,Tommy James & The Shondells,82.499,0.692,-9.478,0.684
Problemão - Ao Vivo,Hugo & Vitor;Clayton & Romário,155.907,0.891,-4.709,0.661
Hommage,DAVID AUGUST;Wanja,95.0,0.332,-12.441,0.258
Amor Ausente (En Vivo) (with Abel Pintos),Eruca Sativa;Abel Pintos,140.042,0.614,-8.786,0.346
Nada por mim - Acústico,Kid Abelha,128.183,0.471,-10.508,0.361
Chau Chau Maria,Los Brios,159.721,0.481,-8.846,0.513
Legend,Sidhu Moose Wala,86.978,0.845,-2.554,0.793
You're Going Down,Sick Puppies,89.981,0.833,-5.899,0.39
Cigarette Daydreams,Cage The Elephant,113.98,0.676,-3.442,0.273
Maradona - lofi remix,The Chainsmokers,77.512,0.369,-9.061,0.166
Pushed Again,Die Toten Hosen,114.22,0.736,-4.222,0.208
Alabaster,Andrew Bird,180.991,0.362,-7.255,0.262
Jacob's Ladder,Hatred Surge,94.312,0.993,-6.452,0.0702
Anything And Everything,Montell Jordan;Redman,95.181,0.657,-3.814,0.964
Piece Of Your Heart,MEDUZA;Goodboys,124.077,0.744,-6.806,0.631
Amor Venme a Buscar,Il Divo,137.409,0.419,-8.761,0.0852
Futile Devices (Doveman Remix),Sufjan Stevens,140.096,0.187,-19.991,0.252
"Piano Sonata No. 11 in A Major, K. 331: I. Variation 2",Wolfgang Amadeus Mozart;Christoph Eschenbach,119.178,0.0282,-27.009,0.495
"1, 2, 3",Sofía Reyes;Jason Derulo;De La Ghetto,94.968,0.895,-3.112,0.793
O Preço - Ao Vivo,Charlie Brown Jr.,82.771,0.959,-5.853,0.522
Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,Kacey Musgraves;Camila Cabello,148.906,0.598,-6.053,0.789
Thunderstorm Sounds,Rain Sounds,114.325,0.547,-20.848,0.0233
Old Man,The Wailin' Jennys,80.505,0.138,-13.479,0.287
The Christmas Song (Chestnuts Roasting On An Open Fire),Judah & the Lion,138.231,0.682,-7.311,0.307
21 Reasons,Nathan Dawe;Ella Henderson,123.96,0.785,-4.499,0.779
クルクルかき氷,≠ME,181.886,0.889,-3.204,0.876
Dead In The Dirt,Fit For An Autopsy,116.398,0.995,-2.235,0.0566
Azonto,Fuse ODG;Tiffany Owusu,125.985,0.923,-3.516,0.945
Guten Flug,Lugatti & 9ine,155.03,0.751,-5.591,0.76
My Favorite Things,Julie Andrews,114.417,0.247,-12.472,0.627
King,Fireboy DML,99.986,0.596,-6.067,0.588
Superhero,Hayd,119.907,0.125,-18.968,0.144
Atmosphere,The Nixons,127.988,0.899,-4.662,0.292
Together,Jay Aliyev,100.003,0.701,-10.272,0.2
Vento No Litoral,Legião Urbana,120.407,0.214,-14.945,0.0752
Dancing on the Clouds (instrumental),Jennifer Thomas,108.14,0.191,-16.628,0.105
Davidian,Machine Head,153.814,0.937,-6.952,0.306
Tu Alma Mía / Adelita,Todos Tus Muertos,116.327,0.464,-18.492,0.731
Tata fatiguée,Vaudou Game,109.774,0.667,-6.134,0.946
Yüksel,Motive,120.128,0.661,-7.237,0.0487
Mouth for War,Pantera,156.96,0.97,-5.69,0.561
As curvas da estrada de Santos,Kid Abelha,77.46,0.674,-6.274,0.422
Aparentemente,Tony Vega,178.73,0.611,-7.275,0.754
Drowning,高爾宣 OSN;李浩瑋 Howard Lee,128.01,0.519,-5.206,0.761
Slidin',Jason Derulo;Kodak Black,100.088,0.884,-1.953,0.803
No Existe el Amor,Cesar Costa,89.76,0.408,-8.999,0.854
Christ Our King - Live From Camp,Passion;Rachel Halbach,74.912,0.47,-7.896,0.0724
Viah,Jass Manak,169.975,0.757,-6.73,0.358
On My Own,Ashes Remain,176.026,0.871,-4.313,0.575
Dervish Dream,Karunesh,159.963,0.534,-13.765,0.459
Man Er Som Man Er,Laus Høybye;Krummerne,124.906,0.612,-7.631,0.796
Frosty The Snowman,Ella Fitzgerald,76.783,0.502,-7.57,0.836
I've Just Seen A Face - Remastered 2009,The Beatles,120.418,0.56,-8.809,0.913
Agora,Pablo,131.892,0.669,-6.131,0.752
All Things New,Hillsong Worship,75.37,0.637,-6.279,0.121
Let Him Go,Beenie Man,93.675,0.966,-4.684,0.914
This Is the Way,Muffin Man,108.011,0.623,-9.346,0.86
呼吸之間,Janice Vidal,172.116,0.367,-10.719,0.344
E. Coli (feat. Earl Sweatshirt),The Alchemist;Earl Sweatshirt,96.019,0.555,-8.726,0.397
KILL4ME,Marilyn Manson,107.989,0.688,-6.136,0.389
Cool It (No Saints Remix),Spice;Epik Jones;No Saints,100.062,0.676,-7.684,0.82
Dip and Get Low,Stanton Warriors;Rodney P,131.983,0.86,-9.231,0.75
Rain - Long Ver.,Motohiro Hata,92.02,0.604,-7.602,0.351
It's Quiet Uptown,Renée Elise Goldsberry;Lin-Manuel Miranda;Phillipa Soo;Original Broadway Cast of Hamilton,129.753,0.187,-14.076,0.227
Life Deprived,Old Man's Child,157.824,0.887,-5.99,0.15
Silver Surfer,Callejon,90.07,0.898,-4.836,0.333
Self-Obsessed,Paradise Lost,121.567,0.894,-5.707,0.619
Schmeiß mein Leben auf den Müll,Fynn Kliemann,149.787,0.555,-6.038,0.179
Animals,WE ARE FURY;Jordan Tariff,144.971,0.707,-5.667,0.293
Somebody Else (with Jorja Smith & Lil Durk),Calvin Harris;Jorja Smith;Lil Durk,89.986,0.78,-3.881,0.951
Innocence,Mike Rowland,81.09,0.0986,-20.052,0.0394
Rompe el Mar (Versión Acústica) - En Vivo,La Quinta Estacion,89.44,0.574,-9.34,0.673
All Shook Up,Elvis Presley,74.832,0.468,-12.503,0.946
Loneliest Time Of Year,Mabel,92.093,0.609,-5.702,0.239
Prospect (feat. ÄTNA) (Carl Craig Late Island Mix),Solomun;ÄTNA;Carl Craig,126.992,0.532,-10.591,0.602
Korken knallen,Nancy Franck,136.017,0.956,-2.357,0.651
Som en rastaman,Allyawan,172.001,0.778,-6.884,0.699
Nasty - Cheesecake Boys Club Mix,Crazibiza;Cheesecake Boys,125.006,0.981,-3.82,0.684
"Mary, Did You Know?",Jim Brickman,61.324,0.091,-18.195,0.0744
Babylon Fallin',DJ Sneak,126.013,0.931,-6.765,0.725
What Christmas Means To Me - Single Version / Mono,Stevie Wonder,83.506,0.7,-6.961,0.799
Como Tu Cariño (with Rodolfo Lesica & Argentino Ledesma),Héctor Varela y su Orquesta Típica;Rodolfo Lesica;Argentino Ledesma,99.404,0.448,-7.083,0.402
Stepping Out,Big D and the Kids Table,180.123,0.99,-2.847,0.779
Razão de Viver - Ao Vivo,Roupa Nova,183.5,0.529,-10.527,0.352
We Don't Hit Our Friends,Desmond Dennis,132.587,0.43,-11.795,0.693
Darkside,Alan Walker;Au/Ra;Tomine Harket,169.988,0.606,-5.115,0.123
El Sueño del Pibe Canta Maradona,El Cachivache Quinteto,114.519,0.326,-13.586,0.805
"Hang Me, Oh Hang Me",Dave Van Ronk,120.24,0.0273,-21.441,0.395
Revenger,F.O.O.L,110.012,0.879,-3.83,0.166
Salió El Sol,Don Omar,109.976,0.708,-5.915,0.965
Venus,Frankie Avalon,115.146,0.547,-9.11,0.714
Sidhu Son,Sidhu Moose Wala,82.825,0.732,-6.068,0.584
Swim - Blackjoy Version,DJ Cam,117.013,0.757,-7.755,0.876
Alone in the Dark Mansion of Madness,Harley Poe,95.24,0.696,-9.472,0.403
Yes and Amen,Housefires,72.009,0.522,-6.723,0.188
When You Look at Me,Sara Kays,129.849,0.293,-10.711,0.373
You Saved My Soul,Bryan & Katie Torwalt,77.853,0.37,-12.215,0.149
The Final Countdown,Europe,117.662,0.843,-6.908,0.188
Ut med allt,Björn Holmgren,128.097,0.591,-4.05,0.427
"Metal Squad (From ""Thunder Force IV"")",Megadriver,195.011,0.965,-5.226,0.187
Everything but You,Clean Bandit;A7S,124.977,0.764,-5.301,0.471
Message In A Bottle - Remastered 2003,The Police,151.12,0.808,-7.042,0.849
Vampiregirl,9mm Parabellum Bullet,159.829,0.934,-3.702,0.602
The Satanist,Behemoth,112.084,0.943,-4.108,0.338
Animal Tears,Protassov,119.917,0.544,-10.173,0.323
Pierre,Ryn Weaver,100.062,0.827,-4.282,0.552
tears in the club,FKA twigs;The Weeknd,167.99,0.717,-6.178,0.72
City Lights Spell Your Name,Miso Colt,75.005,0.245,-12.94,0.434
"The Nutcracker (Suite), Op. 71a, TH. 35: IIb. Dance of the Sugar-Plum Fairy",Pyotr Ilyich Tchaikovsky;Berliner Philharmoniker;Mstislav Rostropovich,102.532,0.0113,-38.384,0.0725
You Never Can Tell,Chuck Berry,157.404,0.852,-9.519,0.884
Happy Holiday,Peggy Lee,192.76,0.499,-9.301,0.69
"Ishare Tere (From ""Ishare Tere"")",Guru Randhawa;Dhvani Bhanushali,99.013,0.941,-2.606,0.337
Cold,Static-X,150.039,0.962,-3.722,0.721
Egoistic Demise,Connate Exasperation,100.026,0.977,-4.172,0.0835
Jamás Tendrás Mi Gloria,Plan 4,175.822,0.986,-3.266,0.414
Running In The Night,Firelite,154.86,0.888,-5.997,0.225
Footsteps of Doom,KOHTA YAMAMOTO,79.765,0.581,-9.61,0.171
Amaranth,Nightwish,127.98,0.859,-3.992,0.31
Christmas Calling (Jolly Jones),Norah Jones,143.912,0.543,-6.296,0.354
Country Outta My Girl,Morgan Evans,187.813,0.932,-4.424,0.709
The Beautiful People,Marilyn Manson,144.037,0.948,-4.938,0.786
Christmas All Over Again,Tom Petty and the Heartbreakers,138.908,0.838,-6.196,0.619
To Let Myself Go,The Avener;Ane Brun,118.038,0.842,-4.433,0.601
Stuck with U,Mini Pop Kids,178.999,0.42,-6.341,0.349
Mi Muñequita Sintética,Jessy Bulbo,150.083,0.849,-3.563,0.78
"Viva Colonia (Da simmer dabei, dat is prima!)",Höhner,128.061,0.877,-4.367,0.95
"7 Minuets, K.65a: No. 5 in C Major",Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,142.897,0.0557,-20.601,0.709
Tanuki,Susumu Yokota,128.853,0.961,-9.085,0.336
All I Want for Christmas Is You,Dolly Parton;Jimmy Fallon,149.918,0.755,-5.904,0.361
I Only Want To Be With You - Mono,Dusty Springfield,132.697,0.823,-4.289,0.953
On the Border,The New Mastersounds,102.038,0.934,-4.843,0.879
Lovely - Piano & Cello,Benny Martin;The Wong Janice,127.512,0.152,-16.993,0.167
Hello,Adele,78.991,0.43,-6.134,0.288
Veilinghallen,Dither;Da Mouth of Madness,179.969,0.964,0.643,0.343
Communio: Quae mihi fuerunt,Traditional;Cappella Musicale di Santa Maria in Campitelli di Roma;Vincenzo Di Betta,74.389,0.0694,-29.206,0.133
Arranhão,Kevi Jonny,138.108,0.661,-3.124,0.673
What I've Done,Linkin Park,120.119,0.93,-5.285,0.287
We Wish You a Merry Christmas,Timothy Infinite,131.969,0.584,-8.492,0.339
Percuma,Slank,171.829,0.632,-8.513,0.497
Weightless,All Time Low,181.074,0.923,-4.512,0.663
Lo siento (feat. Sofía Reyes),Beret;Sofía Reyes,79.719,0.463,-6.798,0.17
Tu Eres La Que Amo,Salserin,170.068,0.834,-5.714,0.679
From You,Bonobo;Joji,140.022,0.499,-10.039,0.255
The Riddle,Nik Kershaw,101.889,0.655,-7.935,0.898
Sientelo,Mefjus;Camo & Krooked,174.91,0.934,0.42,0.41
Banco De Areia,Maneva;MC Hariel,162.944,0.704,-6.567,0.897
Magdalena,Quantic;Alice Russell;Quantic and His Combo Barbaro,122.756,0.64,-7.929,0.765
Volvera,El Canto Del Loco,126.02,0.892,-3.091,0.783
Promised Land,The Disco Boys;Jay Frog;Fabrizio Levita,125.015,0.923,-5.217,0.762
Elusive,Lianne La Havas,134.021,0.409,-8.68,0.428
Sandstorms - C2 2011 Version,Carl Craig,119.142,0.685,-13.318,0.374
Acid Trax 2011 - 2011 Mix,DJ Pierre;Green Velvet;Phuture,127.986,0.991,-5.565,0.642
Put Your Records On,Ritt Momney,91.066,0.491,-10.778,0.151
Nightwatch Underground,Sub Zero Project,160.036,0.846,-6.745,0.0887
Mercedes,Kail BRL;Tobal Mj,93.961,0.631,-6.4,0.716
Deixe-Me Ir / Tem Café - Ao Vivo,Maneva,176.192,0.714,-3.965,0.695
Vem Andar Comigo - Acústico,Jota Quest,147.137,0.284,-14.977,0.458
Último Dia - Ao Vivo,Templo Soul;Pregador Luo,91.965,0.897,-5.939,0.513
卿卿我我,葉玉卿,106.961,0.548,-9.077,0.417
On My Way Back To The Old Home,The Bluegrass Album Band,153.16,0.592,-13.715,0.965
Vanishing,Lamb of God,122.011,0.983,-5.175,0.12
Here Comes The Sun,Viva La Panda,124.97,0.777,-8.303,0.0715
John Hardy,Tony Rice;Vassar Clements;Jerry Douglas;Todd Phillips;Sam Bush;Béla Fleck,146.198,0.476,-15.652,0.963
Eu Não sou Mais Órfão,Gabriel Brito,141.873,0.697,-5.915,0.137
Safe,itssvd;Shiloh Dynasty,114.886,0.461,-13.083,0.512
September Song,JP Cooper,95.942,0.615,-6.7,0.374
First Time (feat. Dylan Matthew),Seven Lions;SLANDER;Dabin;Dylan Matthew,150.131,0.677,-5.76,0.146
Going Dumb,Alesso;CORSAK,121.995,0.678,-6.242,0.551
Ханнамонтана,Poshlaya Molly,141.025,0.906,-5.199,0.405
Beat It (feat. Michael Rose),Easy Star All-Stars;Mykal Rose,114.97,0.683,-6.774,0.796
Levitating (feat. DaBaby),Dua Lipa;DaBaby,102.977,0.825,-3.787,0.915
Killing Scum - DJ Promo Meets Shaolin Mix,The Masochist;Dj Promo;Shaolin,151.861,0.992,-3.125,0.176
Wind Of Change,Scorpions,151.627,0.63,-7.392,0.211
Тюремная Песня,Alexander Vertinsky,79.917,0.515,-11.46,0.475
I Write Sins Not Tragedies,Panic! At The Disco,170.076,0.792,-4.983,0.639
Superstar,Joe Stone;Four of Diamonds,123.954,0.753,-4.956,0.355
Eye of the Storm,Pop Evil,119.991,0.808,-5.694,0.396
O Côro Vai Comê,Charlie Brown Jr.,147.602,0.838,-4.404,0.975
Short Change Hero,The Heavy,105.981,0.64,-6.691,0.738
"É Corpo, É Alma, É Religião - Ao Vivo Na Lapa",Maria Rita,110.48,0.829,-7.738,0.837
Prioridade,Midian Lima,94.026,0.489,-8.725,0.239
Have Yourself A Merry Little Christmas,Sam Smith,75.25,0.178,-9.402,0.344
Honesty,Pink Sweat$,79.975,0.139,-16.339,0.312
Canoeiro (vinheta),Afrocidade;Nildes Bomfim,110.488,0.92,-8.486,0.4
Heal,Tom Odell,72.246,0.179,-12.938,0.119
All Before,3 Pill Morning,170.074,0.967,-4.559,0.436
畢業變成失業,my little airport,145.954,0.607,-7.079,0.808
Airplane pt.2,BTS,139.979,0.817,-4.092,0.866
Você Não Vai Parar (Ao Vivo),André Leono;Samuel Messias,124.154,0.455,-8.732,0.131
Coward,Hans Zimmer,119.983,0.262,-18.505,0.0405
Dulce,Los Amigos Invisibles,117.971,0.819,-5.945,0.827
When The Lights Go Down,DJ Snake,159.996,0.952,-1.892,0.59
Resurgence,Hate,143.743,0.962,-4.629,0.0935
Happier,Marshmello;Bastille,100.011,0.792,-2.749,0.671
I like It Loud (DJ Mix) - Extended Mix,The Prophet,92.457,0.972,-5.634,0.0837
百鬼夜光,夜光性アミューズ,128.044,0.989,-4.339,0.283
Over My Head,Kai Wachi;Dia Frampton,140.158,0.509,-5.455,0.0374
Es Ist ein Ros Entsprungen (Remastered 2014),Traditional;Aeolian Kammerchor,80.39,0.132,-20.822,0.0787
No Promises (feat. Demi Lovato),Cheat Codes;Demi Lovato,112.956,0.667,-5.445,0.595
La Cábala,Los Miserables,99.613,0.942,-4.994,0.746
Cambalache,Juan D'Arienzo;Alberto Echagüe,127.637,0.439,-6.849,0.851
Cry Baby,Official HIGE DANdism,199.844,0.902,-4.605,0.437
Cordeiro Que Sofreu,Instrumental Worship Project from I’m In Records,137.708,0.0745,-16.153,0.152
Floorpiece - Extended Mix,Romanthony,127.743,0.675,-6.846,0.358
Vida Leve,Talita Barreto,163.851,0.495,-8.534,0.546
"Dein ist mein ganzes Herz - Live At Grosse Freiheit 36, Hamburg / 2018",Ben Zucker,152.967,0.979,-4.147,0.271
Poovukkul,Unnikrishnan;Sujatha,104.015,0.517,-9.557,0.292
Duality,Slipknot,143.79,0.982,-3.026,0.194
Montreal,Roosevelt,115.973,0.642,-9.004,0.838
Jiggle,Spice;Demarco;Meeka,103.691,0.687,-3.675,0.696
Evermore,Dan Stevens,79.442,0.396,-8.741,0.219
Angeles Caídos,Attaque 77,128.355,0.896,-9.341,0.882
Mary Mary Quite Contrary - Original Mix,Cameron's Bedtime Classics,126.353,0.259,-15.188,0.476
Wenn ich dein Spiegel wär,Tourneecast 2011;Tourneecast 2012,176.423,0.282,-11.424,0.0911
How Far I'll Go,Billboard Baby Lullabies,162.736,0.15,-17.672,0.0592
A Glória,Alugiana,131.87,0.73,-5.538,0.272
Noche De Sexo,Wisin & Yandel;Anthony Santos,94.002,0.714,-5.436,0.506
トキトキメキメキ,Nogizaka46,145.061,0.964,-3.487,0.74
No + H=Harmony,Arash Azadi,180.147,0.779,-10.917,0.295
Exalted Traitors,AMONGST THE ASHES,94.964,0.944,-5.723,0.409
Zita,Astor Piazzolla,137.035,0.248,-14.946,0.201
Silver,A. G. Cook,94.961,0.69,-7.192,0.709
Harvest Moon,Neil Young,112.938,0.321,-12.15,0.427
Escola da Vida,Mc Vzs;DJ Vilão,80.011,0.496,-4.189,0.29
Head & Heart,Joel Corry;MNEK,122.953,0.874,-3.158,0.905
Bats in the Belfry,Jon Kennedy,99.506,0.57,-7.408,0.0847
Genesis - Friction Remix,Tantrum Desire;Friction,131.308,0.996,-3.548,0.0529
Get Back - Rooftop Performance / Take 2,The Beatles,125.572,0.695,-9.648,0.33
Healing Rain,Nature Sounds;Rain Sounds Lab,106.906,0.966,-30.405,1e-05
Merry Christmas Baby,Otis Redding,101.517,0.291,-14.132,0.856
Days I Will Remember,Tyrone Wells,98.035,0.457,-7.845,0.552
A festa,Maria Rita,136.093,0.606,-9.571,0.653
Bloodstream,twocolors,120.971,0.715,-5.962,0.59
Piece Of Your Heart,MEDUZA;Goodboys,124.077,0.744,-6.806,0.631
Eu Vou Rifar Meu Coração,João Gordo,130.027,0.883,-7.021,0.949
Lost In The Static,After The Burial,126.009,0.955,-4.888,0.193
Chapter II: Eridanus Supervoid,Azooma,140.047,0.925,-5.486,0.28
"La traviata / Act III: Parigi, o cara, noi lasceremo",Giuseppe Verdi;Luciano Pavarotti;Dame Joan Sutherland;National Philharmonic Orchestra;Richard Bonynge,89.471,0.125,-20.49,0.0763
Del Algarrobo al Ombu,Los Indios Tacunau,149.845,0.697,-8.325,0.769
Águas Purificadoras - Ao Vivo,Diante do Trono;Ana Paula Valadão,137.437,0.457,-8.338,0.3
EL MAKINON,KAROL G;Mariah Angeliq,89.109,0.705,-3.224,0.456
Jaiva Viplavam,Sha Bro,81.976,0.634,-6.183,0.498
Need You Now,Venemy;DaNica,189.723,0.603,-5.383,0.183
Planos Perfeitos,Tequila Baby,178.14,0.962,-4.661,0.616
You've Still Got a Place In My Heart,George Jones,70.742,0.217,-13.719,0.166
Apasionadamente,Maelo Ruiz,168.554,0.541,-14.333,0.946
Red Red Wine,UB40,89.155,0.359,-15.663,0.85
Justo Ahora,Destino San Javier,105.029,0.733,-4.556,0.948
サクラミツツキ,SPYAIR,179.004,0.906,-4.073,0.348
Good Morning World!,BURNOUT SYNDROMES,95.574,0.953,-2.244,0.595
Medical Waste Enema,Couple Skate,120.372,0.872,-8.925,0.253
The Outsider,Lyn Lapid,92.998,0.537,-6.462,0.41
O Holy Child,Dusty Springfield,81.523,0.36,-8.602,0.439
Chapel,FelMax,127.993,0.956,-3.759,0.0389
"Saginaw, Michigan",Lefty Frizzell,145.614,0.412,-13.534,0.828
Promised Land - Floorplan Extended Paradise Remix,Joe Smooth;Floorplan,124.962,0.855,-5.798,0.175
Texan Book of the Dead,Clutch,112.012,0.88,-8.547,0.683
Ley Seca,Jhayco;Anuel AA,105.016,0.843,-3.718,0.56
Free Tibet (Mixed) - Vini Vici Remix,Hilight Tribe;Vini Vici,103.492,0.943,-5.154,0.4
die first,Nessa Barrett,183.441,0.669,-6.727,0.44
"FUNNY BOY - FROM ""GIGS"" CASE OF BOOWY",BOØWY,162.823,0.962,-2.955,0.405
calvário,Purples,131.478,0.583,-6.028,0.216
Brother Louie '98 - New Version,Modern Talking,118.311,0.956,-3.398,0.961
Retalhos De Cetim - Ao Vivo,Benito Di Paula;Xande De Pilares,148.389,0.766,-7.771,0.647
Till We Meet Again,Samael,83.101,0.943,-6.679,0.257
Restful Rainforest Daytime Birds and Insects,Nature Sounds,130.894,0.122,-19.339,0.0191
Bing Bong Zoo,Peppa Pig,132.108,0.573,-7.145,0.539
飾りじゃないのよ涙は,Akina Nakamori,88.462,0.854,-5.317,0.806
When This Is Over,Dabin;NURKO;Donovan Woods,129.976,0.639,-6.239,0.435
La Espuela,Juan D'Arienzo y su Orquesta Típica,110.086,0.407,-10.265,0.743
Corpserate Greed,Graf Orlock,179.235,0.889,-7.553,0.222
讓世界暫停一分鐘,G.E.M.,148.937,0.269,-9.169,0.076
"Sunday - KlangTherapeuten ""Looking For Summer"" Remix",Max Manie,124.041,0.54,-10.11,0.375
可惜我是水瓶座,Miriam Yeung,169.98,0.385,-6.216,0.554
Ozeane Erweitern,Weißes Rauschen HD,129.048,0.351,-27.709,1e-05
Chamuyos,Asspera,180.117,0.982,-3.248,0.212
the overthinker,One Hope,118.505,0.351,-12.064,0.477
Hijo de la Luna,Ana Torroja,81.767,0.544,-6.267,0.744
Как служил солдат,Zhanna Bichevskaya,101.401,0.122,-16.575,0.225
Les microsillons,Alain Chamfort,136.74,0.0909,-17.368,0.23
